year/month,location,rainfall(mm)
02-Oct,184,112.3
02-Nov,184,18.2
02-Dec,184,102.4
03-Jan,184,55.9
03-Feb,184,64.4
03-Mar,184,164
03-Apr,184,120.9
03-May,184,284.3
03-Jun,184,201.9
03-Jul,184,362.2
03-Aug,184,245.1
03-Sep,184,330.4
03-Oct,184,37.6
03-Nov,184,112.5
03-Dec,184,20
04-Jan,184,40.6
04-Feb,184,48
04-Mar,184,57.7
04-Apr,184,55.5
04-May,184,124.8
04-Jun,184,66.1
04-Jul,184,55.7
04-Aug,184,405.1
04-Sep,184,348.5
04-Oct,184,24.9
04-Nov,184,51.5
04-Dec,184,55.4
05-Jan,184,47
05-Feb,184,98.3
05-Mar,184,84.6
05-Apr,184,33.5
05-May,184,52.8
05-Jun,184,11.5
05-Jul,184,120.7
05-Aug,184,217.6
05-Sep,184,9
05-Oct,184,26.1
05-Nov,184,92.5
05-Dec,184,78.9
06-Jan,184,57
06-Feb,184,73.5
06-Mar,184,43.8
06-Apr,184,88.4
06-May,184,163.7
06-Jun,184,271.6
06-Jul,184,338.7
06-Aug,184,64.8
06-Sep,184,261
06-Oct,184,19.3
06-Nov,184,83.6
06-Dec,184,62
07-Jan,184,124.5
07-Feb,184,61
07-Mar,184,86.2
07-Apr,184,38.1
07-May,184,50.8
07-Jun,184,101.9
07-Jul,184,302.8
07-Aug,184,231.7
07-Sep,184,880
07-Oct,184,167.5
07-Nov,184,2.6
07-Dec,184,92.7
08-Jan,184,156.8
08-Feb,184,31
08-Mar,184,77.5
08-Apr,184,85.7
08-May,184,135
08-Jun,184,260.5
08-Jul,184,61.5
08-Aug,184,243.7
08-Sep,184,126.3
08-Oct,184,29.3
08-Nov,184,73.3
08-Dec,184,28.2
09-Jan,184,61.7
09-Feb,184,113.7
09-Mar,184,50.9
09-Apr,184,94.4
09-May,184,52.2
09-Jun,184,155.8
09-Jul,184,201.1
09-Aug,184,240.5
09-Sep,184,113.3
09-Oct,184,77.4
09-Nov,184,115.3
09-Dec,184,28.5
10-Jan,184,34.6
10-Feb,184,81.7
10-Mar,184,161.3
10-Apr,184,210.5
10-May,184,33.6
10-Jun,184,188
10-Jul,184,263.9
10-Aug,184,227.6
10-Sep,184,179.1
10-Oct,184,120.3
10-Nov,184,1.8
10-Dec,184,82.5
11-Jan,184,15.6
11-Feb,184,35.1
11-Mar,184,32.4
11-Apr,184,51.3
11-May,184,66.1
11-Jun,184,398.6
11-Jul,184,68.3
11-Aug,184,423.1
11-Sep,184,47.8
11-Oct,184,49.1
11-Nov,184,231.3
11-Dec,184,59.9
12-Jan,184,32.9
12-Feb,184,109.1
12-Mar,184,171.9
12-Apr,184,165
12-May,184,99
12-Jun,184,104.8
12-Jul,184,207.3
